127.0.0.1, 2019-04-21 03:10:52, GET, /admin/static/_2.18.4/images/help.png, HTTP/1.1, 200, 0.150035
127.0.0.1, 2019-04-21 03:10:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000477
127.0.0.1, 2019-04-21 03:12:07, GET, /admin/default/index, HTTP/1.1, 303, 0.131153
127.0.0.1, 2019-04-21 03:12:08, GET, /admin/default/site, HTTP/1.1, 200, 0.728706
127.0.0.1, 2019-04-21 03:12:13, POST, /admin/default/check_version, HTTP/1.1, 200, 3.297248
127.0.0.1, 2019-04-21 03:12:14, GET, /hw2/default/index, HTTP/1.1, 500, 0.441984
127.0.0.1, 2019-04-21 03:12:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000959
127.0.0.1, 2019-04-21 03:12:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000423
127.0.0.1, 2019-04-21 03:13:05, GET, /hw2/default/index, HTTP/1.1, 500, 0.204917
127.0.0.1, 2019-04-21 03:13:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000478
127.0.0.1, 2019-04-21 03:13:08, GET, /admin/default/ticket/hw2/127.0.0.1.2019-04-21.03-13-05.97fb82c4-3f84-48f0-8461-5dce71dec4af, HTTP/1.1, 200, 0.381513
127.0.0.1, 2019-04-21 03:13:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000567
127.0.0.1, 2019-04-21 03:14:08, GET, /hw2/default/index, HTTP/1.1, 500, 0.204051
127.0.0.1, 2019-04-21 03:14:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000578
127.0.0.1, 2019-04-21 03:17:44, GET, /hw2/default/index, HTTP/1.1, 404, 0.199041
127.0.0.1, 2019-04-21 03:17:48, GET, /favicon.ico, HTTP/1.1, 400, 0.003676
127.0.0.1, 2019-04-21 03:18:02, GET, /hw2/default/index, HTTP/1.1, 404, 0.234144
127.0.0.1, 2019-04-21 03:18:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000708
127.0.0.1, 2019-04-21 03:18:06, GET, /hw2/default/index, HTTP/1.1, 404, 0.054485
127.0.0.1, 2019-04-21 03:18:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000675
127.0.0.1, 2019-04-21 03:23:56, GET, /hw2/default/index, HTTP/1.1, 200, 0.643676
127.0.0.1, 2019-04-21 03:23:56, GET, /hw2/static/css/movies.css, HTTP/1.1, 304, 0.010561
127.0.0.1, 2019-04-21 03:23:57, GET, /hw2/default/download/movies.movie_cover.87c4a92c32f39519.70696e6b5f70616e746865722e6a7067.jpg, HTTP/1.1, 304, 0.332465
